name,tokenID,holders,date,tokenSniffer
pTokens EFX (EFX),0xc51ef828319b131b595b7ec4b28210ecf4d05ad0,1444,2021-11-01,https://tokensniffer.com/token/0xc51ef828319b131b595b7ec4b28210ecf4d05ad0
Gamma (GAM),0x51cb2cff2dc93291cc3a56d74dec731d5a9d3162,2350,2021-11-01,https://tokensniffer.com/token/0x51cb2cff2dc93291cc3a56d74dec731d5a9d3162
alturaV1ALU,0x92b8cc9b035648881a85790f2b4b15df970d86cd,3344,2021-11-01,https://tokensniffer.com/token/0x92b8cc9b035648881a85790f2b4b15df970d86cd
Cake-LP,0x8d8b74ea95c0689ac84ddc702d2953c6b2e9f48b,717,2021-11-01,https://tokensniffer.com/token/0x8d8b74ea95c0689ac84ddc702d2953c6b2e9f48b
metadoge (md),0x4f091b74373b11375f976e44a96e29e9204c1d2d,530,2021-11-01,https://tokensniffer.com/token/0x4f091b74373b11375f976e44a96e29e9204c1d2d
Biswap LPs (BSW-LP),0x2b30c317cedfb554ec525f85e79538d59970beb0,218,2021-11-01,https://tokensniffer.com/token/0x2b30c317cedfb554ec525f85e79538d59970beb0
SHIBACITY,0xd98617a57d16de25132b5169a264ccee0fccd872,2999,2021-11-01,https://tokensniffer.com/token/0xd98617a57d16de25132b5169a264ccee0fccd872
DIVIDEND_TRACKER,0xe7f694cdaa9233e3c76ad1c22702b2766b905516,3333,2021-11-01,https://tokensniffer.com/token/0xe7f694cdaa9233e3c76ad1c22702b2766b905516
Flokimooni (Flokim),0x0f5351b9eaefd6687dff143de6ea5d01cb9c1205,3520,2021-11-01,https://tokensniffer.com/token/0x0f5351b9eaefd6687dff143de6ea5d01cb9c1205
Corsac Token (CSCT),0x63ac1962ff47921cbf66f444b907f8ab93da4f08,388,2021-11-01,https://tokensniffer.com/token/0x63ac1962ff47921cbf66f444b907f8ab93da4f08
Crypto Puffs (PUFFS),0xee11db54b66e4dbb99d497573106615bb6ac03ab,1892,2021-11-01,https://tokensniffer.com/token/0xee11db54b66e4dbb99d497573106615bb6ac03ab
MetaFish Token,0xe15176bcb7633be736e94ab6aa2e57a7ed5988ab,3303,2021-11-01,https://tokensniffer.com/token/0xe15176bcb7633be736e94ab6aa2e57a7ed5988ab
Uniswap V2 (UNI-V2),0x64330c8accd74e8eb30894f341ef45c743b875b5,2971,2021-11-01,https://tokensniffer.com/token/0x64330c8accd74e8eb30894f341ef45c743b875b5
